"elimfilters_sku","source_sku","reason"
"EA53004","C23004","Duplicate (3 instances collapsed to 1)"
"EA53005","C23005","Duplicate (3 instances collapsed to 1)"
"EA53006","C23006","Duplicate (3 instances collapsed to 1)"
"EA53012","C23012","Duplicate (2 instances collapsed to 1)"
"EA53013","C23013","Duplicate (2 instances collapsed to 1)"
"EA53018","C23018","Duplicate (2 instances collapsed to 1)"
"EA53033","C23033","Duplicate (2 instances collapsed to 1)"
"EA53091","C23091","Duplicate (2 instances collapsed to 1)"
"EA53220","C23220","Duplicate (3 instances collapsed to 1)"
"EA52335","C2335","Duplicate (2 instances collapsed to 1)"
"EA52345","C2345","Duplicate (2 instances collapsed to 1)"
"EA53451","C2345/1","Duplicate (2 instances collapsed to 1)"
"EA56321","C23632/1","Duplicate (2 instances collapsed to 1)"
"EA53690","C23690","Duplicate (2 instances collapsed to 1)"
"EA54002","C24002X","Duplicate (3 instances collapsed to 1)"
"EA54003","C24003","Duplicate (4 instances collapsed to 1)"
"EA54005","C24005","Duplicate (2 instances collapsed to 1)"
"EA54017","C24017","Duplicate (2 instances collapsed to 1)"
"EA54019","C24019","Duplicate (2 instances collapsed to 1)"
"EA54021","C24021","Duplicate (2 instances collapsed to 1)"
"EA54024","C24024","Duplicate (2 instances collapsed to 1)"
"EA54026","C24026","Duplicate (2 instances collapsed to 1)"
"EA50511","C24051/1","Duplicate (2 instances collapsed to 1)"
"EA54054","C24054","Duplicate (2 instances collapsed to 1)"
"EA54057","C24057","Duplicate (2 instances collapsed to 1)"
"EA54100","C24100","Duplicate (3 instances collapsed to 1)"
"EA54104","C24104","Duplicate (2 instances collapsed to 1)"
"EA54105","C24105","Duplicate (2 instances collapsed to 1)"
"EA54110","C24110","Duplicate (2 instances collapsed to 1)"
"EA54120","C24120","Duplicate (2 instances collapsed to 1)"
"EA51231","C24123/1","Duplicate (3 instances collapsed to 1)"
"EA54165","C24165","Duplicate (2 instances collapsed to 1)"
"EA52436","C2436","Duplicate (2 instances collapsed to 1)"
"EA52440","C2440","Duplicate (2 instances collapsed to 1)"
"EA54430","C24430","Duplicate (2 instances collapsed to 1)"
