"elimfilters_sku","source_sku","segment","has_oem","has_competitor","has_applications","has_specifications","production_tier"
"EAC131032","C13103/2","Air Filter","0","0","0","0","TIER_P5"
"EA53109","C13109","Air Filter","1","0","1","1","TIER_P5"
"EA53114","C13114","Air Filter","1","0","1","1","TIER_P5"
"EA51143","C13114/3","Air Filter","0","1","0","0","TIER_P4"
"EA51144","C13114/4","Air Filter","1","0","1","1","TIER_P5"
"EA51148","C13114/8","Air Filter","0","0","1","1","TIER_P5"
"EA53131","C13131","Air Filter","1","0","1","1","TIER_P5"
"EA53135","C13135","Air Filter","0","1","0","1","TIER_P4"
"EAC131359","C131359","Air Filter","0","0","0","0","TIER_P5"
"EA53137","C13137","Air Filter","0","1","0","1","TIER_P4"
"EA53145","C13145","Air Filter","0","1","1","1","TIER_P4"
"EA51452","C13145/2","Air Filter","1","1","1","1","TIER_P1"
"EA53154","C13154","Air Filter","1","1","1","1","TIER_P1"
"EA51320","C1320","Air Filter","1","0","1","1","TIER_P5"
"EA53240","C13240","Air Filter","1","0","1","1","TIER_P5"
"EAC1328","C1328","Air Filter","0","0","0","0","TIER_P5"
"EA51337","C1337","Air Filter","1","1","1","1","TIER_P1"
"EAC13371","C1337/1","Air Filter","0","0","0","1","TIER_P5"
"EAC13372","C1337/2","Air Filter","0","0","0","1","TIER_P5"
"EA51338","C1338","Air Filter","0","1","0","1","TIER_P4"
"EA53383","C1338/3","Air Filter","0","0","1","1","TIER_P5"
"EA51342","C1342","Air Filter","0","1","1","1","TIER_P4"
"EA51342","C1342KIT","Air Filter","1","1","1","1","TIER_P1"
"EA51343","C1343","Air Filter","1","0","1","1","TIER_P5"
"EA51344","C1344","Air Filter","1","0","1","1","TIER_P5"
"EA51349","C1349","Air Filter","0","1","0","1","TIER_P4"
"EAC1354","C1354","Air Filter","0","0","0","0","TIER_P5"
"EA51355","C1355","Air Filter","0","1","0","1","TIER_P4"
"EA51357","C1357","Air Filter","0","1","0","1","TIER_P4"
"EAC13571","C1357/1","Air Filter","0","0","0","1","TIER_P5"
"EA51358","C1358","Air Filter","0","1","0","1","TIER_P4"
"EA51361","C1361","Air Filter","1","0","1","1","TIER_P5"
"EA51362","C1362","Air Filter","1","0","1","1","TIER_P5"
"EA53621","C1362/1","Air Filter","0","1","0","1","TIER_P4"
"EAC1365","C1365","Air Filter","0","0","0","1","TIER_P5"
"EA51368","C1368","Air Filter","1","0","1","1","TIER_P5"
"EA51369","C1369","Air Filter","1","0","1","1","TIER_P5"
"EA51370","C1370","Air Filter","1","0","1","1","TIER_P5"
"EA51371","C1371","Air Filter","1","1","1","1","TIER_P1"
"EAC13741","C1374/1","Air Filter","0","0","0","1","TIER_P5"
"EA53742","C1374/2","Air Filter","0","1","1","1","TIER_P4"
"EA53742","C1374/2KIT","Air Filter","1","1","1","1","TIER_P1"
"EA51376","C1376","Air Filter","0","1","1","1","TIER_P4"
"EAC1381","C138/1","Air Filter","0","0","0","0","TIER_P5"
"EA51380","C1380","Air Filter","1","0","1","1","TIER_P5"
"EA53801","C1380/1","Air Filter","1","0","1","1","TIER_P5"
"EA53803","C1380/3","Air Filter","0","0","1","1","TIER_P5"
"EA51381","C1381","Air Filter","1","0","1","1","TIER_P5"
"EA51387","C1387","Air Filter","1","0","1","1","TIER_P5"
"EAC1392","C1392","Air Filter","1","0","0","1","TIER_P5"
"EA53941","C1394/1","Air Filter","1","0","1","1","TIER_P5"
"EA51396","C1396","Air Filter","1","0","1","1","TIER_P5"
"EA53991","C1399/1","Air Filter","0","1","0","1","TIER_P4"
"EA53992","C1399/2","Air Filter","1","0","1","1","TIER_P5"
"EA53993","C1399/3","Air Filter","1","0","1","1","TIER_P5"
"EA54004","C14004","Air Filter","1","0","1","1","TIER_P5"
"EA54006","C14006","Air Filter","1","0","1","1","TIER_P5"
"EAC140061","C14006/1","Air Filter","0","0","0","0","TIER_P5"
"EA54010","C14010","Air Filter","1","1","1","1","TIER_P1"
"EA54011","C14011","Air Filter","1","0","1","1","TIER_P5"
"EA54012","C14012","Air Filter","0","0","1","0","TIER_P5"
"EA54013","C14013","Air Filter","0","1","1","1","TIER_P4"
"EA54014","C14014","Air Filter","1","0","1","1","TIER_P5"
"EA54018","C14018","Air Filter","1","0","1","1","TIER_P5"
"EAC14019","C14019","Air Filter","0","0","0","0","TIER_P5"
"EA54020","C14020X","Air Filter","1","0","1","1","TIER_P5"
"EAC14021","C14021","Air Filter","0","0","0","0","TIER_P5"
"EAC14031","C14031","Air Filter","1","0","0","0","TIER_P5"
"EAC1410","C1410","Air Filter","0","0","0","1","TIER_P5"
"EA54101","C14101","Air Filter","1","1","1","1","TIER_P1"
"EAC14110","C14110","Air Filter","0","0","0","0","TIER_P5"
"EA54113","C14113","Air Filter","0","0","1","1","TIER_P5"
"EA54114","C14114","Air Filter","1","0","1","1","TIER_P5"
"EA54115","C14115","Air Filter","1","0","1","1","TIER_P5"
"EA51151","C14115/1","Air Filter","0","0","1","1","TIER_P5"
"EA54117","C14117","Air Filter","1","1","1","1","TIER_P1"
"EA54123","C14123","Air Filter","1","1","1","1","TIER_P1"
"EA54130","C14130","Air Filter","1","1","1","1","TIER_P1"
"EA51301","C14130/1","Air Filter","1","0","1","1","TIER_P5"
"EA54138","C14138","Air Filter","0","0","1","1","TIER_P5"
